"name","rank","change_in_rank","companyRevenue","companyProfit","companySize"
"State Farm Insurance","42","-3","[{""revenues"":""82224.7"",""revenuePercentChange"":""4.2""}]","[{""profits"":""1280.9"",""profitPercentChange"":""-65.7""}]","[{""assets"":""325349.3"",""marketValue"":""0.0"",""employeeCount"":""53586""}]"
"Pfizer","43","34","[{""revenues"":""81288.0"",""revenuePercentChange"":""94.0""}]","[{""profits"":""21979.0"",""profitPercentChange"":""128.6""}]","[{""assets"":""181476.0"",""marketValue"":""292385.3"",""employeeCount"":""79000""}]"
"Citigroup","44","-11","[{""revenues"":""79865.0"",""revenuePercentChange"":""-10.1""}]","[{""profits"":""21952.0"",""profitPercentChange"":""98.7""}]","[{""assets"":""2291413.0"",""marketValue"":""105330.1"",""employeeCount"":""221768""}]"
"PepsiCo","45","-1","[{""revenues"":""79474.0"",""revenuePercentChange"":""12.9""}]","[{""profits"":""7618.0"",""profitPercentChange"":""7.0""}]","[{""assets"":""92377.0"",""marketValue"":""231528.2"",""employeeCount"":""309000""}]"
"Intel","46","-6","[{""revenues"":""79024.0"",""revenuePercentChange"":""1.5""}]","[{""profits"":""19868.0"",""profitPercentChange"":""-4.9""}]","[{""assets"":""168406.0"",""marketValue"":""202635.8"",""employeeCount"":""121100""}]"
"Procter & Gamble","47","-4","[{""revenues"":""76118.0"",""revenuePercentChange"":""7.3""}]","[{""profits"":""14306.0"",""profitPercentChange"":""9.8""}]","[{""assets"":""119307.0"",""marketValue"":""366271.6"",""employeeCount"":""101000""}]"
"General Electric","48","-10","[{""revenues"":""74196.0"",""revenuePercentChange"":""-6.8""}]","[{""profits"":""-6520.0"",""profitPercentChange"":""-214.3""}]","[{""assets"":""198874.0"",""marketValue"":""100810.2"",""employeeCount"":""168000""}]"
"IBM","49","-7","[{""revenues"":""72344.0"",""revenuePercentChange"":""-1.7""}]","[{""profits"":""5743.0"",""profitPercentChange"":""2.7""}]","[{""assets"":""132001.0"",""marketValue"":""116928.3"",""employeeCount"":""297800""}]"
"MetLife","50","-4","[{""revenues"":""71080.0"",""revenuePercentChange"":""4.8""}]","[{""profits"":""6554.0"",""profitPercentChange"":""21.2""}]","[{""assets"":""759708.0"",""marketValue"":""57986.5"",""employeeCount"":""43000""}]"
"Prudential Financial","51","4","[{""revenues"":""70934.0"",""revenuePercentChange"":""24.4""}]","[{""profits"":""7724.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""937582.0"",""marketValue"":""44482.2"",""employeeCount"":""40916""}]"
